00010587_s002_t006.edf_5.h5,00010587_s002_t006.edf_6.h5
00010587_s002_t006.edf_18.h5,00010587_s002_t006.edf_19.h5
00012262_s005_t001.edf_36.h5,00012262_s005_t001.edf_37.h5
00012262_s005_t001.edf_44.h5,00012262_s005_t001.edf_45.h5
00011870_s005_t000.edf_11.h5,00011870_s005_t000.edf_12.h5
00008706_s005_t001.edf_12.h5,00008706_s005_t001.edf_13.h5
00002384_s002_t000.edf_31.h5,00002384_s002_t000.edf_32.h5
00002384_s002_t000.edf_54.h5,00002384_s002_t000.edf_55.h5
00000077_s001_t001.edf_5.h5,00000077_s001_t001.edf_6.h5
00003437_s006_t008.edf_3.h5,00003437_s006_t008.edf_4.h5
00003437_s006_t008.edf_8.h5,00003437_s006_t008.edf_9.h5
00012966_s004_t000.edf_12.h5,00012966_s004_t000.edf_13.h5
00003636_s003_t002.edf_17.h5,00003636_s003_t002.edf_18.h5
00011972_s007_t002.edf_14.h5,00011972_s007_t002.edf_15.h5
00012707_s001_t001.edf_57.h5,00012707_s001_t001.edf_58.h5
00003036_s002_t000.edf_58.h5,00003036_s002_t000.edf_59.h5
00006904_s004_t003.edf_42.h5,00006904_s004_t003.edf_43.h5
00007092_s003_t000.edf_3.h5,00007092_s003_t000.edf_4.h5
00007092_s003_t000.edf_42.h5,00007092_s003_t000.edf_43.h5
00010209_s006_t001.edf_2.h5,00010209_s006_t001.edf_3.h5
00010418_s016_t002.edf_7.h5,00010418_s016_t002.edf_8.h5
00012409_s001_t001.edf_71.h5,00012409_s001_t001.edf_72.h5
00012409_s001_t001.edf_87.h5,00012409_s001_t001.edf_88.h5
00010418_s005_t000.edf_168.h5,00010418_s005_t000.edf_169.h5
00010418_s005_t000.edf_185.h5,00010418_s005_t000.edf_186.h5
00006230_s003_t000.edf_55.h5,00006230_s003_t000.edf_56.h5
00006230_s003_t000.edf_83.h5,00006230_s003_t000.edf_84.h5
00008552_s007_t001.edf_6.h5,00008552_s007_t001.edf_7.h5
00012940_s002_t006.edf_9.h5,00012940_s002_t006.edf_10.h5
00012966_s005_t007.edf_40.h5,00012966_s005_t007.edf_41.h5
00011870_s003_t002.edf_21.h5,00011870_s003_t002.edf_22.h5
00009104_s006_t020.edf_13.h5,00009104_s006_t020.edf_14.h5
00011580_s002_t006.edf_31.h5,00011580_s002_t006.edf_32.h5
00009104_s007_t007.edf_39.h5,00009104_s007_t007.edf_40.h5
00002760_s001_t000.edf_1.h5,00002760_s001_t000.edf_2.h5
00002760_s001_t000.edf_49.h5,00002760_s001_t000.edf_50.h5
00002760_s001_t000.edf_83.h5,00002760_s001_t000.edf_84.h5
00008835_s002_t001.edf_33.h5,00008835_s002_t001.edf_34.h5
00002614_s002_t001.edf_20.h5,00002614_s002_t001.edf_21.h5
00002614_s002_t001.edf_27.h5,00002614_s002_t001.edf_28.h5
00000492_s004_t001.edf_11.h5,00000492_s004_t001.edf_12.h5
00008480_s007_t002.edf_14.h5,00008480_s007_t002.edf_15.h5
00012526_s002_t000.edf_26.h5,00012526_s002_t000.edf_27.h5
00008156_s013_t008.edf_10.h5,00008156_s013_t008.edf_11.h5
00004892_s001_t001.edf_16.h5,00004892_s001_t001.edf_17.h5
00008292_s002_t000.edf_20.h5,00008292_s002_t000.edf_21.h5
00011562_s003_t009.edf_43.h5,00011562_s003_t009.edf_44.h5
00010480_s003_t001.edf_21.h5,00010480_s003_t001.edf_22.h5
00012960_s003_t003.edf_30.h5,00012960_s003_t003.edf_31.h5
00010164_s003_t007.edf_9.h5,00010164_s003_t007.edf_10.h5
00010427_s002_t013.edf_28.h5,00010427_s002_t013.edf_29.h5
00010427_s002_t013.edf_42.h5,00010427_s002_t013.edf_43.h5
00008295_s012_t008.edf_1.h5,00008295_s012_t008.edf_2.h5
00012960_s002_t002.edf_30.h5,00012960_s002_t002.edf_31.h5
00000529_s002_t001.edf_96.h5,00000529_s002_t001.edf_97.h5
00000529_s002_t001.edf_99.h5,00000529_s002_t001.edf_100.h5
00013336_s001_t000.edf_116.h5,00013336_s001_t000.edf_117.h5
00013336_s001_t000.edf_119.h5,00013336_s001_t000.edf_120.h5
00011468_s001_t000.edf_36.h5,00011468_s001_t000.edf_37.h5
00011580_s006_t009.edf_37.h5,00011580_s006_t009.edf_38.h5
00012707_s002_t001.edf_46.h5,00012707_s002_t001.edf_47.h5
00012707_s002_t001.edf_96.h5,00012707_s002_t001.edf_97.h5
00010760_s002_t004.edf_15.h5,00010760_s002_t004.edf_16.h5
00009030_s001_t000.edf_42.h5,00009030_s001_t000.edf_43.h5
00010427_s002_t010.edf_6.h5,00010427_s002_t010.edf_7.h5
00000883_s011_t007.edf_7.h5,00000883_s011_t007.edf_8.h5
00005044_s002_t003.edf_22.h5,00005044_s002_t003.edf_23.h5
00008738_s005_t002.edf_15.h5,00008738_s005_t002.edf_16.h5
00004719_s002_t000.edf_11.h5,00004719_s002_t000.edf_12.h5
00010427_s003_t000.edf_9.h5,00010427_s003_t000.edf_10.h5
00010427_s003_t000.edf_68.h5,00010427_s003_t000.edf_69.h5
00010427_s003_t000.edf_85.h5,00010427_s003_t000.edf_86.h5
00004049_s003_t000.edf_98.h5,00004049_s003_t000.edf_99.h5
00007584_s002_t004.edf_15.h5,00007584_s002_t004.edf_16.h5
00007584_s002_t004.edf_47.h5,00007584_s002_t004.edf_48.h5
00010088_s011_t009.edf_17.h5,00010088_s011_t009.edf_18.h5
00007234_s001_t001.edf_15.h5,00007234_s001_t001.edf_16.h5
00007234_s001_t001.edf_23.h5,00007234_s001_t001.edf_24.h5
